rule_label,pattern,pattern_match_type,description,examples,exceptions,applies_when,matcher_scope,pattern_role,rule_type
digraph_examples,"ch,th,wh,sh",literal,"Common digraphs include ch, th, wh, and sh.",chew; thin; while; shoe,,word contains a common digraph such as ch th wh sh or a similar two-letter sound spelling,deterministic,feature,phonics
blend_examples,"bl,br,cl,cr,dr,fl,fr,gl,gr,pl,pr,sc,scr,sk,sl,sm,sn,sp,spl,spr,squ,st,str,sw,tr",literal,"Common blends include bl, br, sc, sp, cl, cr, scr, squ, fl, dr, sm, st, gl, fr, sn, sw, pl, gr, sl, pr, tr.",black; brown; scat; screen; squeak,,word begins or ends with a consonant blend and the child may drop or swap one sound,deterministic,feature,phonics
silent_letter_examples,"kn,wr,mb,silent_t",literal,"Some common silent-letter patterns are kn, wr, mb, and silent t in words like fasten.",knee; wrong; comb; fasten,,word contains a known silent-letter pattern such as kn wr mb or silent t,deterministic,feature,phonics
schwa_definition,schwa,literal,"Schwa is an unstressed vowel sound, often heard in the first or last vowel of a word.",America,,unstressed syllable vowel,prompt_only,feature,phonics
soft_c_before_e_i_y,"ce,ci,cy",literal,"c sounds like /s/ before e, i, or y; otherwise c usually sounds like /k/.",cent; city; cycle,,"contains ""c"" followed by e, i, or y",deterministic,rule,phonics
soft_g_before_e_i_y,"ge,gi,gy",literal,"g sounds like /j/ before e, i, or y; otherwise g usually keeps its hard sound.",gem; giant; gym,,"contains ""g"" followed by e, i, or y",deterministic,rule,phonics
two_vowels_go_walking,"ai,ay,ea,ee,oa,oe",literal,"When two vowels go walking, the first one often does the talking.",seed; sea; hair; boat,,word contains a common two-vowel team where the first vowel may carry the main sound,prompt_only,rule,vowel_team
ea_short_e_exception,ea,literal,ea sometimes uses the short e sound.,head; bread,,word contains ea and it says short e instead of the more expected long e sound,prompt_only,rule,vowel_team
bossy_w,"wa,wo,we",literal,"W can control nearby vowels a, o, and e and change their sound.",crawl; straw; allow; brow; drew; blew,,word has w next to a o or e and the vowel sound changes because of w,prompt_only,rule,phonics
q_followed_by_u,qu,literal,Q is always followed by u; in this case u is not counted as a vowel.,queen; quiet; quaint,,word contains q and the spelling choice after q is being considered,deterministic,rule,pattern
no_english_words_end_i_u_v_j,"-i,-u,-v,-j",literal,"No native English words end with i, u, v, or j.",i; u; v; j,,word-final spelling choice would otherwise leave the word ending in i u v or j,deterministic,rule,orthography
double_consonant_before_ed,short vowel+single final consonant,shape,"When a word ends with a short vowel followed by one consonant, double the consonant before adding ed.",tap->tapped; pot->potted,,adding the past-tense suffix -ed to a one-syllable base word with short vowel + single final consonant,skip,rule,morphophonemic
add_ed_after_two_consonants,base word ending in two consonants,shape,"When a word ends with two consonants, just add ed.",want->wanted; bark->barked,,adding the past-tense suffix -ed to a base word ending in two consonants,skip,rule,morphophonemic
add_d_after_final_e,base word ending in letter e,shape,"When a word ends with e, just add d.",hope->hoped; bake->baked,,adding the past-tense suffix -ed to a base word that already ends in silent e,skip,rule,morphophonemic
double_consonant_before_ing,short vowel+single final consonant,shape,"When a word ends with a short vowel followed by one consonant, double the consonant before adding ing.",tap->tapping; pot->potting,,adding the suffix -ing to a one-syllable base word with short vowel + single final consonant,skip,rule,morphophonemic
add_ing_after_two_consonants,base word ending in two consonants,shape,"When a word ends with two consonants, just add ing.",stamp->stamping; part->parting; find->finding,,adding the suffix -ing to a base word ending in two consonants,skip,rule,morphophonemic
drop_final_e_before_ing,base word ending in letter e,shape,Drop final e before adding ing.,hope->hoping; hate->hating; love->loving; time->timing,,adding the suffix -ing to a base word ending in silent e,skip,rule,morphophonemic
